"","logFC","AveExpr","t","P.Value","adj.P.Val","gene_id","gene"
"ENSG00000215186",-3.51746972589307,-1.03836603801358,-4.80288371167569,0.000102343688471209,0.00229456269614441,"ENSG00000215186","GOLGA6B"
"ENSG00000196090",-2.33597018527953,0.572236659698845,-4.80157956919736,0.00010249558093853,0.00229582452378357,"ENSG00000196090","PTPRT"
"ENSG00000107831",2.1335916781726,1.86458514239445,4.78957653883575,0.000105008179485603,0.00234991277335348,"ENSG00000107831","FGF8"
"ENSG00000151136",-2.09521644377584,3.34247072373461,-4.78804594162114,0.000105333137054323,0.00235499002509163,"ENSG00000151136","BTBD11"
"ENSG00000280114",2.56902983068841,0.255997968125656,4.78434336011633,0.000106128473050405,0.00237056455338263,"ENSG00000280114",NA
"ENSG00000157483",-1.73681170956475,5.34929382859643,-4.78371463237379,0.000106258329482411,0.00237125930067996,"ENSG00000157483","MYO1E"
"ENSG00000172175",1.38601601686494,4.58759950831427,4.78133938204066,0.000106769350121704,0.00238045091469114,"ENSG00000172175","MALT1"
"ENSG00000123454",-5.36594539441662,-2.78902445021154,-4.78226281907238,0.000108296744261691,0.0024122647710684,"ENSG00000123454","DBH"
"ENSG00000120279",4.94203988096111,-3.0584339124095,4.77824880840044,0.000108601597761794,0.00241681331367582,"ENSG00000120279","MYCT1"
"ENSG00000137727",4.22780770239468,-0.712629205303542,4.774368487488,0.00010876417819274,0.00241819022848526,"ENSG00000137727","ARHGAP20"
"ENSG00000166152",4.05380180751647,-5.76061122259717,4.76625192068538,0.000110448247820331,0.00245336107924309,"ENSG00000166152","C16orf78"
"ENSG00000188859",-2.82796970158137,0.958554541367123,-4.76356788125871,0.000110690385173726,0.00245646721699769,"ENSG00000188859","FAM78B"
"ENSG00000169894",1.29765903193815,6.13913490327219,4.76001574757806,0.00011147150882029,0.00247151788531192,"ENSG00000169894","MUC3A"
"ENSG00000141622",-1.82496261040483,2.82102947108986,-4.74986279081233,0.000113784533178854,0.00252047436410575,"ENSG00000141622","RNF165"
"ENSG00000275023",1.66475364187357,5.00555773127853,4.74940626843639,0.000113889672170783,0.00252047816420723,"ENSG00000275023","MLLT6"
"ENSG00000139926",1.79366280460055,3.9349869105291,4.74876011834435,0.00011403868097989,0.00252145194078187,"ENSG00000139926","FRMD6"
"ENSG00000170561",1.53182014951304,3.58735036264925,4.74579205899209,0.00011472566988369,0.0025343079901078,"ENSG00000170561","IRX2"
"ENSG00000147614",4.61643814945184,-4.65920546810959,4.74637447269904,0.000115465017898009,0.00254829596485938,"ENSG00000147614","ATP6V0D2"
"ENSG00000113721",1.68304470121846,4.77948016129509,4.73968294994403,0.000116153100454224,0.00256112786786669,"ENSG00000113721","PDGFRB"
"ENSG00000090932",-2.13687128175107,1.19487120598065,-4.7385986898538,0.000116408704955882,0.00256440901229416,"ENSG00000090932","DLL3"
"ENSG00000205822",2.81306340520582,-0.901088183404346,4.73580439965568,0.000117085819111237,0.00257696121768929,"ENSG00000205822","TPTE2P6"
"ENSG00000087495",-2.71616725950336,-0.501183412247567,-4.73420683849711,0.000117459559971382,0.00258281955497511,"ENSG00000087495","PHACTR3"
"ENSG00000143786",1.87730164980944,2.69615641429589,4.73244236976127,0.000117868542199818,0.00258944138636965,"ENSG00000143786","CNIH3"
"ENSG00000186188",3.12746066933779,-2.7293009004945,4.73039385866234,0.000118410143645196,0.00259896194626001,"ENSG00000186188","FFAR4"
"ENSG00000188026",1.47283480411654,3.66301859843458,4.7284910546699,0.000118815579436321,0.00260547917207758,"ENSG00000188026","RILPL1"
"ENSG00000185105",-3.77201522403363,-2.79053550185883,-4.72699594526549,0.000119426547516068,0.00261648746255094,"ENSG00000185105","MYADML2"
"ENSG00000137819",-1.85310548281096,3.39128999075683,-4.71538551935277,0.000122013016807439,0.0026707170096447,"ENSG00000137819","PAQR5"
"ENSG00000115232",-2.0888014654415,1.93642548324719,-4.71203706563863,0.000122844254513679,0.00268646287739751,"ENSG00000115232","ITGA4"
"ENSG00000139278",5.91535550478451,-4.12404885274944,4.7236854543451,0.000123045718026615,0.00268842018312564,"ENSG00000139278","GLIPR1"
"ENSG00000175155",2.37431751796216,2.5320585241385,4.70885530318107,0.00012364112367089,0.00269897332871402,"ENSG00000175155","YPEL2"
"ENSG00000213578",-4.43254688492009,-2.20276198936848,-4.69980536045251,0.000126710868740548,0.00276347082670122,"ENSG00000213578","CPLX3"
"ENSG00000187164",1.31546600973111,5.425979000018,4.69612975123566,0.00012687172040791,0.00276446801309867,"ENSG00000187164","SHTN1"
"ENSG00000169550",4.60168052101137,-5.52871722753979,4.69892248950419,0.000127127442184413,0.00276752868697383,"ENSG00000169550","MUC15"
"ENSG00000255583",4.8418241238118,-4.75410880196813,4.69386327406513,0.000128756839713186,0.0028004612637618,"ENSG00000255583",NA
"ENSG00000077080",-2.61956147032404,-0.723676542818323,-4.68278815240196,0.000130362668407863,0.0028328220758458,"ENSG00000077080","ACTL6B"
"ENSG00000124479",-4.15827622452217,-5.06604086365229,-4.67964051077487,0.000131746297788513,0.00286030027350612,"ENSG00000124479","NDP"
"ENSG00000165186",2.49766181238814,2.88810878953621,4.6762265652941,0.000132107257780881,0.00286554604682431,"ENSG00000165186","PTCHD1"
"ENSG00000162595",5.44528445613271,-4.66319734860237,4.68341309402948,0.000132563034579465,0.00287283717177087,"ENSG00000162595","DIRAS3"
"ENSG00000182752",4.48572813386248,-1.46446895311672,4.67212347697753,0.000134110046417379,0.00290374250187025,"ENSG00000182752","PAPPA"
"ENSG00000175262",-4.93669608984114,-3.61275015328934,-4.67113942550407,0.000135000667119218,0.00292039280978978,"ENSG00000175262","C1orf127"
"ENSG00000136244",5.20895708257078,-2.39711357772729,4.66538135999173,0.000137066878155804,0.00296242113256271,"ENSG00000136244","IL6"
"ENSG00000143603",-2.96707610777798,1.87060403967963,-4.64921373639185,0.000139596050790459,0.00301437083775225,"ENSG00000143603","KCNN3"
"ENSG00000198838",4.67732824387572,1.29100827108767,4.64469778441697,0.000142073206397612,0.00306510497036789,"ENSG00000198838","RYR3"
"ENSG00000134769",1.57695911557334,4.88323401795999,4.6389991940868,0.000142487381886314,0.00307128098191578,"ENSG00000134769","DTNA"
"ENSG00000197647",1.92503744936314,1.35418462436402,4.63321214492961,0.000144175335001742,0.00310487725924827,"ENSG00000197647","ZNF433"
"ENSG00000102871",3.41597699879872,-0.848860789357279,4.63255677693896,0.000144517363028994,0.00310945423033353,"ENSG00000102871","TRADD"
"ENSG00000188013",1.50503433254013,2.90220348933406,4.63056055174217,0.000144955470014339,0.00311608840285077,"ENSG00000188013","MEIS3P2"
"ENSG00000231069",4.70121712103077,-5.70004916981709,4.63014368646939,0.000146390756471767,0.00314412776779971,"ENSG00000231069",NA
"ENSG00000160180",-4.36393052461729,-2.25899330195673,-4.62391447623688,0.000147801960462269,0.00317160024541555,"ENSG00000160180","TFF3"
"ENSG00000153714",4.84357894378663,-2.38506488301064,4.62078304744945,0.000149447102580984,0.00320403913140588,"ENSG00000153714","LURAP1L"
"ENSG00000172752",4.57192643319207,-1.95963603986538,4.61820931975175,0.00014980754395314,0.00320890164621124,"ENSG00000172752","COL6A5"
"ENSG00000187848",1.96581008078721,1.28856148221044,4.61184165229394,0.000150587822926551,0.0032227404671233,"ENSG00000187848","P2RX2"
"ENSG00000184709",-4.33881630330097,-2.46545005141951,-4.61377961217142,0.00015085972339021,0.00322568448623841,"ENSG00000184709","LRRC26"
"ENSG00000259848",-5.10941472141978,-5.36655496702184,-4.61618060184921,0.000151354096617856,0.00323337595016722,"ENSG00000259848",NA
"ENSG00000183578",3.0493622633967,-0.8140760965746,4.60887166848492,0.000151558935437271,0.00323487391797312,"ENSG00000183578","TNFAIP8L3"
"ENSG00000234964",1.46246822445424,5.43502507128475,4.6039426131139,0.000153031158460206,0.00326339624950841,"ENSG00000234964","FABP5P7"
"ENSG00000158485",4.254716275682,-5.9719630455908,4.60543988234285,0.000153350163872037,0.00326729736902871,"ENSG00000158485","CD1B"
"ENSG00000155307",-4.71763537625777,-1.09127570724915,-4.59795032851813,0.000156367860271542,0.00332863923833357,"ENSG00000155307","SAMSN1"
"ENSG00000164236",-1.61447818063192,3.57230259432522,-4.58541602351035,0.000158922533201517,0.00338002468311322,"ENSG00000164236","ANKRD33B"
"ENSG00000231812",-4.15142572685378,-4.02270609595202,-4.58687395467117,0.000159158227337361,0.00338204190692453,"ENSG00000231812","SNRPCP9"
"ENSG00000268903",1.68631446735696,4.06753189069011,4.58193648841285,0.000160054642338252,0.00339808317579674,"ENSG00000268903",NA
"ENSG00000153446",1.84834820607506,1.54623842669935,4.57675868279619,0.000161754626004931,0.00343114141310106,"ENSG00000153446","C16orf89"
"ENSG00000174326",3.19378431538569,-1.28188569996709,4.57441293281305,0.000162628859743148,0.00344664093570386,"ENSG00000174326","SLC16A11"
"ENSG00000149798",-1.9295240791794,2.95456073803158,-4.5586602234568,0.000167843165741795,0.00355401243015166,"ENSG00000149798","CDC42EP2"
"ENSG00000002745",-4.54613166967642,-4.53583165071036,-4.55492718462864,0.000170458629740142,0.00360621375975357,"ENSG00000002745","WNT16"
"ENSG00000168283",2.76321238709834,2.0817125645687,4.54989009515025,0.000170901305724577,0.0036116288380664,"ENSG00000168283","BMI1"
"ENSG00000133454",3.88246170344094,0.799889521570503,4.55092677308411,0.000171015408499146,0.0036116288380664,"ENSG00000133454","MYO18B"
"ENSG00000075035",2.01257497176475,1.93060504430232,4.54680349004419,0.000171958611539308,0.00362835692467651,"ENSG00000075035","WSCD2"
"ENSG00000188770",-3.0791894420098,-0.261312457716733,-4.54291393849725,0.000173406979226145,0.00365570534256207,"ENSG00000188770","OPTC"
"ENSG00000141655",-1.61311512641744,3.57688368737272,-4.54112947929727,0.000173964122276819,0.00366423377553595,"ENSG00000141655","TNFRSF11A"
"ENSG00000049130",2.6802219867101,2.19933643469461,4.53649395283133,0.000175638095030051,0.00369625060285852,"ENSG00000049130","KITLG"
"ENSG00000115266",-5.27541560024189,-0.946252959521874,-4.54351509810763,0.000176061603435774,0.00370191875805587,"ENSG00000115266","APC2"
"ENSG00000077684",-1.32611346737114,6.76307868504277,-4.53067779721496,0.000177721571789176,0.00373355239002772,"ENSG00000077684","JADE1"
"ENSG00000183463",4.7020471554268,-6.14565349182769,4.53089953808472,0.000179350368039914,0.00376447643127135,"ENSG00000183463","URAD"
