"","logFC","AveExpr","t","P.Value","adj.P.Val","gene_id","gene"
"ENSG00000158014",-3.83411510035589,1.83787179092589,-10.3830382915627,8.41143767477331e-08,3.11524580984275e-06,"ENSG00000158014","SLC30A2"
"ENSG00000138161",5.67611237601424,0.961778148105357,10.3923500994113,8.4446916314791e-08,3.12247622276154e-06,"ENSG00000138161","CUZD1"
"ENSG00000108819",-2.01309836043532,4.85247090685085,-10.3698962489191,8.51604154215517e-08,3.14374650436053e-06,"ENSG00000108819","PPP1R9B"
"ENSG00000158022",-5.37436327656018,-2.20126863409375,-10.375720120521,8.56928575513746e-08,3.15827484719329e-06,"ENSG00000158022","TRIM63"
"ENSG00000145675",-3.09542213212812,4.49719623644905,-10.358894695552,8.62171321244935e-08,3.16873288703357e-06,"ENSG00000145675","PIK3R1"
"ENSG00000131773",-2.11175332532845,5.05642616653474,-10.3581507186312,8.62553059399199e-08,3.16873288703357e-06,"ENSG00000131773","KHDRBS3"
"ENSG00000165238",2.77824412850818,5.05707693774758,10.3558400047698,8.64836679305384e-08,3.17199775603297e-06,"ENSG00000165238","WNK2"
"ENSG00000130768",2.18372477877516,4.58068361225183,10.3460166717332,8.74023077963617e-08,3.20052895215663e-06,"ENSG00000130768","SMPDL3B"
"ENSG00000213085",-5.09481554998966,0.927091732301694,-10.3263345675529,9.01767435190149e-08,3.29681534987524e-06,"ENSG00000213085","CFAP45"
"ENSG00000172782",-5.57657797013777,1.88443169002908,-10.3218608054745,9.10765709620658e-08,3.32436793527669e-06,"ENSG00000172782","FADS6"
"ENSG00000005513",4.46578707409101,2.30383802798819,10.300999045123,9.22555213872266e-08,3.35850398621807e-06,"ENSG00000005513","SOX8"
"ENSG00000130558",2.11045590315794,5.27045697516225,10.295971999337,9.2307167607137e-08,3.35850398621807e-06,"ENSG00000130558","OLFM1"
"ENSG00000224594",-6.14884777905383,-1.76154306223399,-10.3072179655354,9.32311879570831e-08,3.38670481492663e-06,"ENSG00000224594","RPL29P19"
"ENSG00000267909",4.92152851159644,1.92495082909479,10.2856421661606,9.4132682848354e-08,3.41399873679676e-06,"ENSG00000267909","CCDC177"
"ENSG00000137507",-4.50624103040173,2.78661379812422,-10.2762471093235,9.48125005055568e-08,3.43317876034452e-06,"ENSG00000137507","LRRC32"
"ENSG00000097096",-2.69721547167599,4.73236560900697,-10.2602434794759,9.59983558698069e-08,3.4705923886795e-06,"ENSG00000097096","SYDE2"
"ENSG00000187288",-5.29170112065357,-3.00408762378651,-10.2685010680285,9.62507692436624e-08,3.47262332019976e-06,"ENSG00000187288","CIDEC"
"ENSG00000165124",-4.32451224187192,1.37639433907364,-10.2597022103374,9.64422927011051e-08,3.47262332019976e-06,"ENSG00000165124","SVEP1"
"ENSG00000269825",-3.17088302905741,3.76405836396975,-10.2547694641901,9.66111672698366e-08,3.47262332019976e-06,"ENSG00000269825",NA
"ENSG00000164695",-2.66188294410624,3.11079191275462,-10.2539171500692,9.66653721058244e-08,3.47262332019976e-06,"ENSG00000164695","CHMP4C"
"ENSG00000186047",4.54003203159274,0.787079181669732,10.2564573864281,9.69129471396066e-08,3.47602589582753e-06,"ENSG00000186047","DLEU7"
"ENSG00000173894",1.85570893506358,6.51522355506159,10.2037881801801,1.02131340865794e-07,3.65742786029629e-06,"ENSG00000173894","CBX2"
"ENSG00000183963",-2.64430071987453,5.37593728775144,-10.1896006934061,1.03748734583075e-07,3.70950664216843e-06,"ENSG00000183963","SMTN"
"ENSG00000179314",3.85469387999711,4.65779461982803,10.1689893831332,1.06341208640756e-07,3.79623090186936e-06,"ENSG00000179314","WSCD1"
"ENSG00000276160",-5.06353459450569,-2.59864026574014,-10.1621926379345,1.07959370821344e-07,3.84795625780152e-06,"ENSG00000276160","GGTLC5P"
"ENSG00000110195",-5.99451252814081,0.438143420446893,-10.1612622660567,1.09229489678545e-07,3.88713395194072e-06,"ENSG00000110195","FOLR1"
"ENSG00000139364",4.24600006132699,3.84594727268019,10.1445805013775,1.09435657250952e-07,3.88838569669789e-06,"ENSG00000139364","TMEM132B"
"ENSG00000104635",2.04023277759183,7.55400735694411,10.1105034502226,1.13223113211955e-07,4.01668267463316e-06,"ENSG00000104635","SLC39A14"
"ENSG00000140873",-7.28274766302237,1.5966776937401,-10.1448079220001,1.13552149190361e-07,4.02208079842495e-06,"ENSG00000140873","ADAMTS18"
"ENSG00000112378",-1.89979126357176,6.7362151265043,-10.0958287814933,1.15082127862023e-07,4.06416352504194e-06,"ENSG00000112378","PERP"
"ENSG00000076356",-7.11460086327482,4.6563189331907,-10.1299119111636,1.1509768294314e-07,4.06416352504194e-06,"ENSG00000076356","PLXNA2"
"ENSG00000182253",-3.6262289644362,3.13344927861356,-10.0845512108191,1.16688611352488e-07,4.11395197233424e-06,"ENSG00000182253","SYNM"
"ENSG00000071205",-3.25990132254847,3.34295137047392,-10.0678917197686,1.18782652647343e-07,4.18129647244674e-06,"ENSG00000071205","ARHGAP10"
"ENSG00000171724",2.59576595916321,5.10706642490927,10.052566265867,1.20764295641805e-07,4.24448235377843e-06,"ENSG00000171724","VAT1L"
"ENSG00000182557",-5.61646926695538,-2.14589840032182,-10.0424872519285,1.24038061797251e-07,4.35281716862574e-06,"ENSG00000182557","SPNS3"
