"","logFC","AveExpr","t","P.Value","adj.P.Val","gene_id","gene"
"ENSG00000121454",-6.82861231752159,-0.387358524383048,-10.8812005915175,5.07735588942116e-09,3.88272196231786e-07,"ENSG00000121454","LHX4"
"ENSG00000184979",2.04874481186273,3.52778533863157,10.8290700390345,5.35288835487994e-09,4.08043032309134e-07,"ENSG00000184979","USP18"
"ENSG00000164093",5.21180174795046,0.860535364700346,10.7761712566116,5.75256315658537e-09,4.37121982645341e-07,"ENSG00000164093","PITX2"
"ENSG00000185652",3.92886847329991,0.259248175469473,10.7620314429279,5.84065576866853e-09,4.42415855890438e-07,"ENSG00000185652","NTF3"
"ENSG00000101204",-6.38699274411237,0.802147149272211,-10.7409211672864,6.0640549997866e-09,4.57893360549924e-07,"ENSG00000101204","CHRNA4"
"ENSG00000197993",3.24936877119676,2.78690622413493,10.7281275358055,6.10087990722702e-09,4.58362517250899e-07,"ENSG00000197993","KEL"
"ENSG00000075223",4.88121796160271,1.47860174222754,10.7289824288164,6.10844600700848e-09,4.58362517250899e-07,"ENSG00000075223","SEMA3C"
"ENSG00000274588",-2.58644214997762,3.17171800068729,-10.7218058729546,6.15071129355389e-09,4.60096198071078e-07,"ENSG00000274588","DGKK"
"ENSG00000122756",4.45159597946324,1.43391404017654,10.7170239608254,6.19719194996474e-09,4.62133456840228e-07,"ENSG00000122756","CNTFR"
"ENSG00000064195",5.42408740643283,-0.316334072206189,10.716574665835,6.22117819435439e-09,4.62485853878754e-07,"ENSG00000064195","DLX3"
"ENSG00000183779",2.99991373611821,1.26125041280335,10.6890037096241,6.41923491061391e-09,4.75736631708831e-07,"ENSG00000183779","ZNF703"
"ENSG00000101825",3.07055452605079,2.33169510860155,10.67035122379,6.57737643641714e-09,4.85956809203841e-07,"ENSG00000101825","MXRA5"
"ENSG00000008196",6.62448373438366,-5.47495633052452,10.6708068623816,6.65693791142215e-09,4.90326359291622e-07,"ENSG00000008196","TFAP2B"
"ENSG00000147601",-1.47226117836074,7.78907956713077,-10.6485113532575,6.76736414109475e-09,4.96935620048829e-07,"ENSG00000147601","TERF1"
"ENSG00000139219",-2.38731205402615,4.12874436742568,-10.6390760155413,6.85138339211218e-09,5.01571396376212e-07,"ENSG00000139219","COL2A1"
